title,description,category,resolution,priority,request_type
raid array fault,escalated because raid array degraded; san failing for the team; raid array intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode issue,noticed that inode stalling; archive tier delayed across several users; inode flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded fault,users report quota exceeded failing; snapshot degraded at multiple sites; quota exceeded unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage issue,we are seeing block storage intermittent; volume capacity delayed at multiple sites; block storage flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage alert,tracking block storage recurring; archive tier unstable for the team; block storage delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
mount point fault,users report mount point stalling; archive tier erratic in one department; mount point flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
mount point fault,monitoring flagged mount point flapping; nas mount delayed after the upgrade; mount point stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
raid array fault,tracking raid array stalling; mount point stalling in production; raid array flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded fault,ongoing quota exceeded delayed; san intermittent in production; quota exceeded flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode report,inode failing; mount point failing in one department; inode unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
snapshot ticket,snapshot intermittent; disk full intermittent in a branch office; snapshot stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage fault,users report block storage recurring; mount point recurring across several users; block storage unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode alert,we are seeing inode unstable; raid array unresponsive at multiple sites; inode stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
snapshot issue,we are seeing snapshot recurring; mount point flapping for the team; snapshot recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun request,users report lun erratic; raid array unstable in a branch office; lun erratic,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full request,disk full recurring; lun flapping in production; disk full degraded,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
raid array report,raid array degraded; filesystem intermittent during the night shift; raid array recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full fault,monitoring flagged disk full failing; snapshot stalling in production; disk full delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage alert,escalated because block storage unstable; lun failing for the team; block storage flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
san ticket,noticed that san flapping; filesystem unstable for the team; san unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode case,ongoing inode failing; quota exceeded delayed for the team; inode flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
filesystem report,we are seeing filesystem unstable; block storage unstable after the upgrade; filesystem erratic,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
filesystem fault,we are seeing filesystem intermittent; archive tier delayed at multiple sites; filesystem recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
volume capacity request,users report volume capacity flapping; snapshot stalling for the team; volume capacity recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
archive tier report,noticed that archive tier stalling; filesystem stalling in production; archive tier intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded issue,escalated because quota exceeded unresponsive; archive tier unstable in one department; quota exceeded stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode request,monitoring flagged inode intermittent; disk full intermittent for the team; inode stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
volume capacity issue,ongoing volume capacity intermittent; lun recurring across several users; volume capacity unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
raid array request,escalated because raid array degraded; lun unresponsive across several users; raid array erratic,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
raid array case,ongoing raid array delayed; san intermittent after the upgrade; raid array intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded alert,quota exceeded failing; lun flapping in a branch office; quota exceeded recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount ticket,nas mount intermittent; disk full recurring after the upgrade; nas mount unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
archive tier issue,users report archive tier flapping; disk full unresponsive across several users; archive tier stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
snapshot report,users report snapshot intermittent; archive tier flapping in production; snapshot delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode fault,escalated because inode degraded; quota exceeded unstable across several users; inode intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full fault,tracking disk full unresponsive; san stalling in one department; disk full erratic,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full case,we are seeing disk full stalling; raid array stalling in a branch office; disk full unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
mount point case,ongoing mount point unresponsive; disk full flapping at multiple sites; mount point failing,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount report,we are seeing nas mount unstable; raid array degraded during the night shift; nas mount flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
san alert,noticed that san flapping; quota exceeded unresponsive after the upgrade; san recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage alert,we are seeing block storage unstable; nas mount recurring in one department; block storage delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
snapshot case,monitoring flagged snapshot delayed; lun unstable in one department; snapshot flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
raid array fault,noticed that raid array delayed; volume capacity degraded in one department; raid array unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun request,ongoing lun stalling; disk full flapping after the upgrade; lun flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun case,users report lun unresponsive; archive tier unstable in one department; lun intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount request,we are seeing nas mount recurring; disk full recurring at multiple sites; nas mount unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
san issue,monitoring flagged san stalling; archive tier degraded after the upgrade; san erratic,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun ticket,escalated because lun unstable; archive tier flapping in one department; lun erratic,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount alert,ongoing nas mount failing; san flapping during the night shift; nas mount failing,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
san case,monitoring flagged san intermittent; lun intermittent after the upgrade; san degraded,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded case,tracking quota exceeded stalling; inode erratic during the night shift; quota exceeded intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
mount point fault,mount point flapping; disk full stalling for the team; mount point flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode request,tracking inode failing; mount point intermittent across several users; inode delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage fault,escalated because block storage failing; filesystem intermittent during the night shift; block storage unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
snapshot report,snapshot unstable; mount point flapping in one department; snapshot unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode report,monitoring flagged inode degraded; archive tier delayed in one department; inode degraded,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
filesystem ticket,escalated because filesystem erratic; mount point failing at multiple sites; filesystem unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode ticket,users report inode stalling; volume capacity unstable for the team; inode degraded,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun case,tracking lun stalling; inode degraded in one department; lun delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
filesystem report,monitoring flagged filesystem failing; block storage unstable in one department; filesystem stalling,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount request,ongoing nas mount failing; mount point flapping after the upgrade; nas mount unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
snapshot alert,snapshot degraded; archive tier unstable in a branch office; snapshot intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full report,escalated because disk full erratic; inode delayed at multiple sites; disk full failing,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
san case,escalated because san erratic; quota exceeded erratic for the team; san flapping,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded issue,we are seeing quota exceeded intermittent; mount point delayed across several users; quota exceeded unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount issue,nas mount stalling; mount point failing in a branch office; nas mount unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
raid array issue,monitoring flagged raid array degraded; volume capacity flapping in a branch office; raid array unstable,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
quota exceeded case,monitoring flagged quota exceeded recurring; archive tier recurring after the upgrade; quota exceeded delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun ticket,noticed that lun failing; quota exceeded degraded in production; lun unresponsive,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
filesystem request,ongoing filesystem flapping; volume capacity delayed after the upgrade; filesystem degraded,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
nas mount case,tracking nas mount unresponsive; volume capacity stalling at multiple sites; nas mount delayed,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun fault,users report lun failing; san degraded after the upgrade; lun recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
lun fault,noticed that lun unresponsive; mount point flapping in a branch office; lun recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
block storage fault,escalated because block storage stalling; quota exceeded unstable after the upgrade; block storage recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
inode fault,inode intermittent; nas mount unresponsive for the team; inode intermittent,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full case,tracking disk full degraded; inode intermittent during the night shift; disk full recurring,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
disk full ticket,we are seeing disk full delayed; raid array intermittent in a branch office; disk full failing,Storage,Reclaimed/expanded capacity; remounted the volume and verified the filesystem.,Medium,Incident
hypervisor ticket,noticed that hypervisor unresponsive; memory exhaustion delayed across several users; hypervisor delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion ticket,memory exhaustion stalling; cgroup flapping in one department; memory exhaustion recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot request,host reboot stalling; virtual machine erratic in one department; host reboot erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart case,escalated because pod restart erratic; oom killer delayed during the night shift; pod restart stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint request,noticed that node taint delayed; cpu utilization unresponsive across several users; node taint recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot case,monitoring flagged host reboot stalling; kernel panic stalling in a branch office; host reboot degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cpu utilization report,tracking cpu utilization delayed; virtual machine unstable in one department; cpu utilization recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic request,ongoing kernel panic unresponsive; memory exhaustion stalling during the night shift; kernel panic failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion alert,we are seeing memory exhaustion stalling; pod restart erratic in a branch office; memory exhaustion unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer ticket,escalated because oom killer failing; memory exhaustion intermittent across several users; oom killer degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart alert,ongoing pod restart intermittent; load average stalling in production; pod restart erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer request,oom killer delayed; memory exhaustion unstable after the upgrade; oom killer intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node issue,users report kubernetes node failing; load average unresponsive in production; kubernetes node failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart issue,ongoing pod restart delayed; cpu utilization unresponsive at multiple sites; pod restart failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine alert,noticed that virtual machine unresponsive; host reboot unresponsive after the upgrade; virtual machine delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup ticket,users report cgroup unstable; memory exhaustion unstable across several users; cgroup unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic fault,noticed that kernel panic degraded; load average intermittent in production; kernel panic delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor case,monitoring flagged hypervisor unresponsive; oom killer recurring for the team; hypervisor intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor ticket,monitoring flagged hypervisor delayed; kernel panic erratic across several users; hypervisor failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart issue,users report pod restart degraded; cgroup flapping during the night shift; pod restart failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node case,noticed that kubernetes node recurring; oom killer recurring in a branch office; kubernetes node erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine case,monitoring flagged virtual machine delayed; host reboot degraded for the team; virtual machine erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint issue,escalated because node taint erratic; pod restart unresponsive at multiple sites; node taint erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot request,tracking host reboot recurring; oom killer unresponsive in one department; host reboot stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint ticket,node taint stalling; cgroup erratic for the team; node taint erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart ticket,ongoing pod restart erratic; memory exhaustion erratic in production; pod restart unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic alert,users report kernel panic delayed; node taint degraded in production; kernel panic flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
load average issue,tracking load average unresponsive; cgroup delayed during the night shift; load average erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot alert,tracking host reboot delayed; kernel panic unstable for the team; host reboot erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine request,noticed that virtual machine recurring; host reboot flapping at multiple sites; virtual machine flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer case,users report oom killer degraded; cgroup recurring after the upgrade; oom killer erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine issue,tracking virtual machine erratic; load average unstable for the team; virtual machine unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic case,escalated because kernel panic recurring; memory exhaustion flapping across several users; kernel panic stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion request,monitoring flagged memory exhaustion unstable; host reboot recurring in one department; memory exhaustion failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart ticket,escalated because pod restart flapping; load average recurring at multiple sites; pod restart recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot ticket,tracking host reboot unresponsive; cgroup recurring in production; host reboot unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion issue,monitoring flagged memory exhaustion recurring; kernel panic delayed in a branch office; memory exhaustion flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cpu utilization fault,noticed that cpu utilization failing; virtual machine failing for the team; cpu utilization delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor alert,noticed that hypervisor flapping; cpu utilization recurring during the night shift; hypervisor flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node report,escalated because kubernetes node delayed; node taint intermittent in one department; kubernetes node unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot report,ongoing host reboot stalling; load average flapping in one department; host reboot unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer issue,tracking oom killer failing; cpu utilization unstable in one department; oom killer erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion case,tracking memory exhaustion flapping; oom killer erratic in one department; memory exhaustion recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart report,noticed that pod restart delayed; load average erratic at multiple sites; pod restart flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer fault,we are seeing oom killer failing; kubernetes node recurring in a branch office; oom killer erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node fault,escalated because kubernetes node stalling; load average failing in production; kubernetes node failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion report,ongoing memory exhaustion degraded; kernel panic unstable after the upgrade; memory exhaustion delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
load average fault,escalated because load average recurring; memory exhaustion degraded for the team; load average intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup fault,cgroup recurring; node taint unresponsive in production; cgroup recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
load average report,noticed that load average erratic; cpu utilization delayed during the night shift; load average erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine ticket,ongoing virtual machine unstable; hypervisor failing in a branch office; virtual machine recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cpu utilization report,cpu utilization recurring; cgroup unstable in a branch office; cpu utilization recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint issue,monitoring flagged node taint unresponsive; kernel panic erratic for the team; node taint degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor alert,ongoing hypervisor recurring; node taint unresponsive across several users; hypervisor unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint fault,escalated because node taint unstable; memory exhaustion recurring in production; node taint unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer request,oom killer intermittent; hypervisor erratic in production; oom killer unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion fault,tracking memory exhaustion unstable; oom killer erratic at multiple sites; memory exhaustion flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup case,noticed that cgroup unstable; pod restart intermittent across several users; cgroup recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup request,escalated because cgroup degraded; hypervisor failing during the night shift; cgroup unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart report,tracking pod restart delayed; hypervisor intermittent after the upgrade; pod restart flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor fault,escalated because hypervisor flapping; oom killer failing during the night shift; hypervisor unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup fault,noticed that cgroup failing; virtual machine degraded during the night shift; cgroup delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic request,ongoing kernel panic unresponsive; cgroup stalling for the team; kernel panic unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor fault,we are seeing hypervisor flapping; cgroup erratic in production; hypervisor intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup ticket,users report cgroup delayed; oom killer failing across several users; cgroup failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node fault,we are seeing kubernetes node degraded; memory exhaustion erratic in a branch office; kubernetes node stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor issue,hypervisor failing; host reboot recurring at multiple sites; hypervisor degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic issue,monitoring flagged kernel panic degraded; cgroup degraded during the night shift; kernel panic recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup fault,ongoing cgroup unstable; node taint degraded in a branch office; cgroup unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart issue,noticed that pod restart erratic; cgroup unresponsive in a branch office; pod restart flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer ticket,noticed that oom killer failing; memory exhaustion flapping across several users; oom killer flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor alert,we are seeing hypervisor erratic; node taint degraded during the night shift; hypervisor erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer report,tracking oom killer degraded; cgroup unstable at multiple sites; oom killer delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic issue,kernel panic erratic; cgroup unresponsive for the team; kernel panic degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion case,escalated because memory exhaustion unresponsive; kernel panic erratic in one department; memory exhaustion failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup issue,monitoring flagged cgroup failing; node taint flapping in production; cgroup unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node issue,tracking kubernetes node delayed; kernel panic erratic during the night shift; kubernetes node erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint fault,escalated because node taint intermittent; memory exhaustion failing for the team; node taint flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic ticket,kernel panic stalling; load average unresponsive for the team; kernel panic flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine request,ongoing virtual machine stalling; load average degraded at multiple sites; virtual machine erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer issue,tracking oom killer flapping; load average intermittent for the team; oom killer unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup report,monitoring flagged cgroup degraded; virtual machine erratic across several users; cgroup intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot case,tracking host reboot recurring; cpu utilization intermittent for the team; host reboot erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
load average ticket,load average erratic; cgroup delayed across several users; load average erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine ticket,we are seeing virtual machine failing; cpu utilization flapping after the upgrade; virtual machine degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup alert,cgroup recurring; load average intermittent in one department; cgroup degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart issue,we are seeing pod restart erratic; cgroup recurring in one department; pod restart failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cpu utilization case,escalated because cpu utilization failing; oom killer unresponsive in one department; cpu utilization degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic request,we are seeing kernel panic degraded; memory exhaustion degraded for the team; kernel panic erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot ticket,monitoring flagged host reboot flapping; kubernetes node stalling in production; host reboot degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot fault,users report host reboot unstable; cpu utilization stalling in a branch office; host reboot degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer alert,escalated because oom killer stalling; kubernetes node delayed at multiple sites; oom killer unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic alert,monitoring flagged kernel panic degraded; cpu utilization recurring across several users; kernel panic flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart issue,ongoing pod restart failing; memory exhaustion unstable during the night shift; pod restart degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
